OBJID,RA,DEC,NH,ENERGY_SLOPE,ENERGY_SLOPE_ERROR,EXPOSURE_TIME,NUFNU_3000EV,NUFNU_ERROR_3000EV,NUFNU_500EV,NUFNU_ERROR_500EV,UPPER_LIMIT_500EV,NUFNU_1500EV,NUFNU_ERROR_1500EV,UPPER_LIMIT_1500EV,NUFNU_4500EV,NUFNU_ERROR_4500EV,UPPER_LIMIT_4500EV,COUNTRATES_300_10000EV,COUNTRATES_ERROR_300_10000EV,COUNTRATES_300_1000EV,COUNTRATES_ERROR_300_1000EV,UPPER_LIMIT_300_1000EV,COUNTRATES_1000_2000EV,COUNTRATES_ERROR_1000_2000EV,UPPER_LIMIT_1000_2000EV,COUNTRATES_2000_10000EV,COUNTRATES_ERROR_2000_10000EV,UPPER_LIMIT_2000_10000EV,RUNID
2037,39.4339,-1.44389,3.06e+20,0.8,-999/-999,158418,6.87703e-15,1.20869e-15,5.98776e-15,1.48322e-15,-999,3.73737e-15,1.39351e-15,-999,8.08545e-15,2.54045e-15,-999,0.000495,8.7e-05,0.00024,5.945e-05,-999,0.000105,3.915e-05,-999,0.00015,4.713e-05,-999,278_39_-1
2242,39.4057,-1.42406,3.06e+20,0.8,-999/-999,153612,3.51493e-15,9.03045e-16,1.35273e-15,7.40736e-16,-999,4.50264e-15,1.62807e-15,-999,3.89719e-15,1.86019e-15,-999,0.000253,6.5e-05,5.422e-05,2.969e-05,-999,0.0001265,4.574e-05,-999,7.23e-05,3.451e-05,-999,287_39_-1
2039,39.7533,-1.34412,3.06e+20,0.8,-999/-999,140136,9.18327e-15,1.52823e-15,3.29826e-15,1.23498e-15,-999,6.72371e-15,2.12532e-15,-999,1.83216e-14,4.23516e-15,-999,0.000661,0.00011,0.0001322,4.95e-05,-999,0.0001889,5.971e-05,-999,0.0003399,7.857e-05,-999,278_39_-1
2040,39.4232,-1.44895,3.06e+20,0.8,-999/-999,151847,2.70913e-15,8.61366e-16,1.21626e-15,7.63439e-16,-999,1.73521e-15,1.08918e-15,-999,5.25554e-15,2.3437e-15,-999,0.000195,6.2e-05,4.875e-05,3.06e-05,-999,4.875e-05,3.06e-05,-999,9.75e-05,4.348e-05,-999,278_39_-1
2041,39.7331,-1.39758,3.06e+20,0.8,-999/-999,145399,5.91842e-15,1.20869e-15,1.63541e-15,8.32049e-16,-999,6.4176e-15,1.98686e-15,-999,9.71871e-15,3.00887e-15,-999,0.000426,8.7e-05,6.555e-05,3.335e-05,-999,0.0001803,5.582e-05,-999,0.0001803,5.582e-05,-999,278_39_-1
2042,39.3995,-1.42806,3.05e+20,0.8,-999/-999,140790,2.79169e-15,9.16674e-16,1.82238e-15,9.99693e-16,-999,6.50229e-16,7.13579e-16,-999,5.91305e-15,2.65683e-15,-999,0.000201,6.6e-05,7.31e-05,4.01e-05,-999,1.827e-05,2.005e-05,-999,0.0001097,4.929e-05,-999,278_39_-1
2043,-46.2933,0.69889,7.1e+20,0.8,-999/-999,4286.3,3.44916e-14,1.36399e-14,0,-2.89602e-11,6.93098e-14,0,-3.24539e-11,7.76714e-14,1.19343e-13,4.71949e-14,-999,0.0022,0.00087,0,-0.8691,0.00208,0,-0.8691,0.00208,0.0022,0.00087,-999,279_313_0
2044,-46.4213,0.821261,7.21e+20,0.8,-999/-999,4327.8,2.68863e-13,3.45906e-14,2.50242e-13,4.86721e-14,-999,2.45914e-13,5.04765e-14,-999,1.66515e-13,5.15442e-14,-999,0.0171,0.0022,0.007455,0.00145,-999,0.006577,0.00135,-999,0.003069,0.00095,-999,279_313_0
2045,-46.3164,0.898606,7.35e+20,0.8,-999/-999,3910.2,4.05572e-14,1.5781e-14,7.4642e-14,3.06564e-14,-999,3.70213e-14,-3.74145e-11,9.08211e-14,1.99218e-14,2.04156e-14,-999,0.00257,0.001,0.002203,0.0009048,-999,0.0009885,-0.999,0.002425,0.0003671,0.0003762,-999,279_313_0
2046,30.3146,0.52658,2.22e+20,1.004,+0.09/-0.08,15329,3.70852e-13,1.79264e-14,3.81733e-13,2.73636e-14,-999,3.51027e-13,3.12774e-14,-999,3.66281e-13,3.87528e-14,-999,0.0331,0.0016,0.01575,0.001129,-999,0.01014,0.0009035,-999,0.007206,0.0007624,-999,280_30_0
2047,30.3771,0.506756,2.22e+20,0.8,-999/-999,15093,1.08198e-14,4.0473e-15,1.33858e-14,5.87396e-15,-999,8.07348e-15,5.71593e-15,-999,9.39889e-15,-1.61332e-11,4.07447e-14,0.000802,0.0003,0.0005729,0.0002514,-999,0.0002291,0.0001622,-999,0.0001746,-0.2997,0.0007569,280_30_0
2048,30.2756,0.566597,2.23e+20,1.318,+0.05/-0.05,15407,9.91085e-13,2.41728e-14,1.56342e-12,5.38777e-14,-999,1.44096e-12,5.92705e-14,-999,8.57762e-13,5.28102e-14,-999,0.123,0.003,0.06146,0.002118,-999,0.04291,0.001765,-999,0.01863,0.001147,-999,280_30_0
